 

stn;time;sre000d0
DAV;20221015;130
DAV;20221016;475
DAV;20221017;488
DAV;20221018;318
DAV;20221019;501
DAV;20221020;229
DAV;20221021;0
DAV;20221022;254
DAV;20221023;104
DAV;20221024;0
DAV;20221025;447
DAV;20221026;225
DAV;20221027;450
DAV;20221028;388
DAV;20221029;459
DAV;20221030;463
DAV;20221031;260
DAV;20221101;1
DAV;20221102;174
DAV;20221103;202
DAV;20221104;255
DAV;20221105;59
DAV;20221106;353
DAV;20221107;435
DAV;20221108;339
DAV;20221109;3
DAV;20221110;247
DAV;20221111;338
DAV;20221112;218
DAV;20221113;367
DAV;20221114;65
DAV;20221115;111
DAV;20221116;26
DAV;20221117;397
DAV;20221118;42
DAV;20221119;319
DAV;20221120;112
DAV;20221121;316
DAV;20221122;0
DAV;20221123;396
DAV;20221124;91
DAV;20221125;323
DAV;20221126;210
DAV;20221127;374
DAV;20221128;0
DAV;20221129;0
DAV;20221130;84
DAV;20221201;279
DAV;20221202;57
DAV;20221203;274
DAV;20221204;0
DAV;20221205;0
DAV;20221206;367
DAV;20221207;379
DAV;20221208;378
DAV;20221209;0
DAV;20221210;0
DAV;20221211;196
DAV;20221212;252
DAV;20221213;24
DAV;20221214;10
DAV;20221215;0
DAV;20221216;0
DAV;20221217;372
DAV;20221218;305
DAV;20221219;47
DAV;20221220;74
DAV;20221221;72
DAV;20221222;320
DAV;20221223;0
DAV;20221224;75
DAV;20221225;351
DAV;20221226;316
DAV;20221227;247
DAV;20221228;238
DAV;20221229;191
DAV;20221230;187
DAV;20221231;216
DAV;20230101;363
DAV;20230102;118
DAV;20230103;0
DAV;20230104;149
DAV;20230105;58
DAV;20230106;380
DAV;20230107;381
DAV;20230108;0
DAV;20230109;74
DAV;20230110;140
DAV;20230111;28
DAV;20230112;90
DAV;20230113;128
DAV;20230114;241
DAV;20230115;0
DAV;20230116;102
DAV;20230117;102
DAV;20230118;333
DAV;20230119;0
DAV;20230120;53
DAV;20230121;8
DAV;20230122;367
DAV;20230123;54
DAV;20230124;342
DAV;20230125;408
DAV;20230126;416
DAV;20230127;358
DAV;20230128;422
DAV;20230129;397
DAV;20230130;389
DAV;20230131;261
DAV;20230201;193
DAV;20230202;0
DAV;20230203;304
DAV;20230204;264
DAV;20230205;1
DAV;20230206;377
DAV;20230207;453
DAV;20230208;455
DAV;20230209;458
DAV;20230210;461
DAV;20230211;179
DAV;20230212;464
DAV;20230213;466
DAV;20230214;470
DAV;20230215;473
DAV;20230216;476
DAV;20230217;82
DAV;20230218;374
DAV;20230219;411
DAV;20230220;487
DAV;20230221;493
DAV;20230222;328
DAV;20230223;60
DAV;20230224;175
DAV;20230225;70
DAV;20230226;71
DAV;20230227;294
DAV;20230228;536
DAV;20230301;457
DAV;20230302;407
DAV;20230303;534
DAV;20230304;554
DAV;20230305;553
DAV;20230306;273
DAV;20230307;438
DAV;20230308;220
DAV;20230309;350
DAV;20230310;111
DAV;20230311;0
DAV;20230312;155
DAV;20230313;361
DAV;20230314;146
DAV;20230315;424
DAV;20230316;582
DAV;20230317;521
DAV;20230318;504
DAV;20230319;165
DAV;20230320;411
DAV;20230321;253
DAV;20230322;597
DAV;20230323;324
DAV;20230324;53
DAV;20230325;46
DAV;20230326;94
DAV;20230327;58
DAV;20230328;426
DAV;20230329;28
DAV;20230330;84
DAV;20230331;43
