"id","index","measurement_time","measured_value"
19759,11,"2022-09-11 00:00:00+02",13
19760,11,"2022-09-11 00:15:00+02",7
19761,11,"2022-09-11 00:30:00+02",7
19762,11,"2022-09-11 00:45:00+02",6
19763,11,"2022-09-11 01:00:00+02",4
19764,11,"2022-09-11 01:15:00+02",2
19765,11,"2022-09-11 01:30:00+02",11
19766,11,"2022-09-11 01:45:00+02",6
19767,11,"2022-09-11 02:00:00+02",1
19768,11,"2022-09-11 02:15:00+02",3
19769,11,"2022-09-11 02:30:00+02",1
19770,11,"2022-09-11 02:45:00+02",0
19771,11,"2022-09-11 03:00:00+02",1
19772,11,"2022-09-11 03:15:00+02",1
19773,11,"2022-09-11 03:30:00+02",4
19774,11,"2022-09-11 03:45:00+02",2
19775,11,"2022-09-11 04:00:00+02",0
19776,11,"2022-09-11 04:15:00+02",2
19777,11,"2022-09-11 04:30:00+02",2
19778,11,"2022-09-11 04:45:00+02",0
19779,11,"2022-09-11 05:00:00+02",1
19780,11,"2022-09-11 05:15:00+02",1
19781,11,"2022-09-11 05:30:00+02",1
19782,11,"2022-09-11 05:45:00+02",4
19783,11,"2022-09-11 06:00:00+02",10
19784,11,"2022-09-11 06:15:00+02",5
19785,11,"2022-09-11 06:30:00+02",9
19786,11,"2022-09-11 06:45:00+02",12
19787,11,"2022-09-11 07:00:00+02",10
19788,11,"2022-09-11 07:15:00+02",12
19789,11,"2022-09-11 07:30:00+02",18
19790,11,"2022-09-11 07:45:00+02",21
19791,11,"2022-09-11 08:00:00+02",46
19792,11,"2022-09-11 08:15:00+02",60
19793,11,"2022-09-11 08:30:00+02",75
19794,11,"2022-09-11 08:45:00+02",60
19795,11,"2022-09-11 09:00:00+02",83
19796,11,"2022-09-11 09:15:00+02",111
19797,11,"2022-09-11 09:30:00+02",132
19798,11,"2022-09-11 09:45:00+02",128
19799,11,"2022-09-11 10:00:00+02",149
19800,11,"2022-09-11 10:15:00+02",127
19801,11,"2022-09-11 10:30:00+02",141
19802,11,"2022-09-11 10:45:00+02",181
19803,11,"2022-09-11 11:00:00+02",172
19804,11,"2022-09-11 11:15:00+02",192
19805,11,"2022-09-11 11:30:00+02",184
19806,11,"2022-09-11 11:45:00+02",177
19807,11,"2022-09-11 12:00:00+02",191
19808,11,"2022-09-11 12:15:00+02",183
19809,11,"2022-09-11 12:30:00+02",156
19810,11,"2022-09-11 12:45:00+02",151
19811,11,"2022-09-11 13:00:00+02",138
19812,11,"2022-09-11 13:15:00+02",171
19813,11,"2022-09-11 13:30:00+02",123
19814,11,"2022-09-11 13:45:00+02",136
19815,11,"2022-09-11 14:00:00+02",116
19816,11,"2022-09-11 14:15:00+02",124
19817,11,"2022-09-11 14:30:00+02",133
19818,11,"2022-09-11 14:45:00+02",110
19819,11,"2022-09-11 15:00:00+02",132
19820,11,"2022-09-11 15:15:00+02",101
19821,11,"2022-09-11 15:30:00+02",101
19822,11,"2022-09-11 15:45:00+02",112
19823,11,"2022-09-11 16:00:00+02",81
19824,11,"2022-09-11 16:15:00+02",114
19825,11,"2022-09-11 16:30:00+02",140
19826,11,"2022-09-11 16:45:00+02",120
19827,11,"2022-09-11 17:00:00+02",105
19828,11,"2022-09-11 17:15:00+02",107
19829,11,"2022-09-11 17:30:00+02",103
19830,11,"2022-09-11 17:45:00+02",127
19831,11,"2022-09-11 18:00:00+02",86
19832,11,"2022-09-11 18:15:00+02",96
19833,11,"2022-09-11 18:30:00+02",73
19834,11,"2022-09-11 18:45:00+02",70
19835,11,"2022-09-11 19:00:00+02",47
19836,11,"2022-09-11 19:15:00+02",92
19837,11,"2022-09-11 19:30:00+02",51
19838,11,"2022-09-11 19:45:00+02",62
19839,11,"2022-09-11 20:00:00+02",60
19840,11,"2022-09-11 20:15:00+02",38
19841,11,"2022-09-11 20:30:00+02",26
19842,11,"2022-09-11 20:45:00+02",40
19843,11,"2022-09-11 21:00:00+02",34
19844,11,"2022-09-11 21:15:00+02",16
19845,11,"2022-09-11 21:30:00+02",17
19846,11,"2022-09-11 21:45:00+02",19
19847,11,"2022-09-11 22:00:00+02",22
19848,11,"2022-09-11 22:15:00+02",13
19849,11,"2022-09-11 22:30:00+02",5
19850,11,"2022-09-11 22:45:00+02",4
19851,11,"2022-09-11 23:00:00+02",7
19852,11,"2022-09-11 23:15:00+02",5
19853,11,"2022-09-11 23:30:00+02",1
19854,11,"2022-09-11 23:45:00+02",0
19855,21,"2022-09-11 00:00:00+02",0
19856,21,"2022-09-11 00:15:00+02",0
19857,21,"2022-09-11 00:30:00+02",0
19858,21,"2022-09-11 00:45:00+02",0
19859,21,"2022-09-11 01:00:00+02",0
19860,21,"2022-09-11 01:15:00+02",0
19861,21,"2022-09-11 01:30:00+02",0
19862,21,"2022-09-11 01:45:00+02",0
19863,21,"2022-09-11 02:00:00+02",0
19864,21,"2022-09-11 02:15:00+02",0
19865,21,"2022-09-11 02:30:00+02",0
19866,21,"2022-09-11 02:45:00+02",0
19867,21,"2022-09-11 03:00:00+02",0
19868,21,"2022-09-11 03:15:00+02",0
19869,21,"2022-09-11 03:30:00+02",0
19870,21,"2022-09-11 03:45:00+02",0
19871,21,"2022-09-11 04:00:00+02",0
19872,21,"2022-09-11 04:15:00+02",0
19873,21,"2022-09-11 04:30:00+02",0
19874,21,"2022-09-11 04:45:00+02",0
19875,21,"2022-09-11 05:00:00+02",0
19876,21,"2022-09-11 05:15:00+02",0
19877,21,"2022-09-11 05:30:00+02",0
19878,21,"2022-09-11 05:45:00+02",0
19879,21,"2022-09-11 06:00:00+02",0
19880,21,"2022-09-11 06:15:00+02",0
19881,21,"2022-09-11 06:30:00+02",0
19882,21,"2022-09-11 06:45:00+02",0
19883,21,"2022-09-11 07:00:00+02",0
19884,21,"2022-09-11 07:15:00+02",0
19885,21,"2022-09-11 07:30:00+02",1
19886,21,"2022-09-11 07:45:00+02",0
19887,21,"2022-09-11 08:00:00+02",0
