"id","index","measurement_time","measured_value"
20041,0,"2022-09-11 00:00:00+02",0
20042,0,"2022-09-11 00:15:00+02",0
20043,0,"2022-09-11 00:30:00+02",0
20044,0,"2022-09-11 00:45:00+02",0
20045,0,"2022-09-11 01:00:00+02",0
20046,0,"2022-09-11 01:15:00+02",0
20047,0,"2022-09-11 01:30:00+02",0
20048,0,"2022-09-11 01:45:00+02",0
20049,0,"2022-09-11 02:00:00+02",0
20050,0,"2022-09-11 02:15:00+02",0
20051,0,"2022-09-11 02:30:00+02",0
20052,0,"2022-09-11 02:45:00+02",0
20053,0,"2022-09-11 03:00:00+02",0
20054,0,"2022-09-11 03:15:00+02",0
20055,0,"2022-09-11 03:30:00+02",0
20056,0,"2022-09-11 03:45:00+02",0
20057,0,"2022-09-11 04:00:00+02",0
20058,0,"2022-09-11 04:15:00+02",0
20059,0,"2022-09-11 04:30:00+02",0
20060,0,"2022-09-11 04:45:00+02",0
20061,0,"2022-09-11 05:00:00+02",0
20062,0,"2022-09-11 05:15:00+02",0
20063,0,"2022-09-11 05:30:00+02",0
20064,0,"2022-09-11 05:45:00+02",0
20065,0,"2022-09-11 06:00:00+02",0
20066,0,"2022-09-11 06:15:00+02",0
20067,0,"2022-09-11 06:30:00+02",0
20068,0,"2022-09-11 06:45:00+02",0
20069,0,"2022-09-11 07:00:00+02",0
20070,0,"2022-09-11 07:15:00+02",0
20071,0,"2022-09-11 07:30:00+02",0
20072,0,"2022-09-11 07:45:00+02",0
20073,0,"2022-09-11 08:00:00+02",0
20074,0,"2022-09-11 08:15:00+02",0
20075,0,"2022-09-11 08:30:00+02",0
20076,0,"2022-09-11 08:45:00+02",0
20077,0,"2022-09-11 09:00:00+02",0
20078,0,"2022-09-11 09:15:00+02",0
20079,0,"2022-09-11 09:30:00+02",0
20080,0,"2022-09-11 09:45:00+02",0
20081,0,"2022-09-11 10:00:00+02",0
20082,0,"2022-09-11 10:15:00+02",0
20083,0,"2022-09-11 10:30:00+02",0
20084,0,"2022-09-11 10:45:00+02",0
20085,0,"2022-09-11 11:00:00+02",0
20086,0,"2022-09-11 11:15:00+02",0
20087,0,"2022-09-11 11:30:00+02",0
20088,0,"2022-09-11 11:45:00+02",0
