"id","index","measurement_time","measured_value"
19994,0,"2022-09-11 11:30:00+02",0
19995,0,"2022-09-11 11:45:00+02",0
19996,0,"2022-09-11 12:00:00+02",0
19997,0,"2022-09-11 12:15:00+02",0
19700,11,"2022-09-11 00:00:00+02",22
19701,11,"2022-09-11 00:15:00+02",15
19702,11,"2022-09-11 00:30:00+02",6
19703,11,"2022-09-11 00:45:00+02",3
19704,11,"2022-09-11 01:00:00+02",3
19705,11,"2022-09-11 01:15:00+02",5
19706,11,"2022-09-11 01:30:00+02",5
19707,11,"2022-09-11 01:45:00+02",2
19708,11,"2022-09-11 02:00:00+02",2
19709,11,"2022-09-11 02:15:00+02",1
19710,11,"2022-09-11 02:30:00+02",3
19711,11,"2022-09-11 02:45:00+02",0
19712,11,"2022-09-11 03:00:00+02",0
19713,11,"2022-09-11 03:15:00+02",1
19714,11,"2022-09-11 03:30:00+02",1
19715,11,"2022-09-11 03:45:00+02",2
19716,11,"2022-09-11 04:00:00+02",3
19717,11,"2022-09-11 04:15:00+02",0
19718,11,"2022-09-11 04:30:00+02",2
19719,11,"2022-09-11 04:45:00+02",4
19720,11,"2022-09-11 05:00:00+02",0
19721,11,"2022-09-11 05:15:00+02",1
19722,11,"2022-09-11 05:30:00+02",1
19723,11,"2022-09-11 05:45:00+02",3
19724,11,"2022-09-11 06:00:00+02",4
19725,11,"2022-09-11 06:15:00+02",5
19726,11,"2022-09-11 06:30:00+02",7
19727,11,"2022-09-11 06:45:00+02",5
19728,11,"2022-09-11 07:00:00+02",12
19729,11,"2022-09-11 07:15:00+02",8
19730,11,"2022-09-11 07:30:00+02",11
19731,11,"2022-09-11 07:45:00+02",21
19732,11,"2022-09-11 08:00:00+02",30
19733,11,"2022-09-11 08:15:00+02",46
19734,11,"2022-09-11 08:30:00+02",42
19735,11,"2022-09-11 08:45:00+02",70
19736,11,"2022-09-11 09:00:00+02",72
19737,11,"2022-09-11 09:15:00+02",89
19738,11,"2022-09-11 09:30:00+02",105
19739,11,"2022-09-11 09:45:00+02",126
19740,11,"2022-09-11 10:00:00+02",142
19741,11,"2022-09-11 10:15:00+02",138
19742,11,"2022-09-11 10:30:00+02",188
19743,11,"2022-09-11 10:45:00+02",182
19744,11,"2022-09-11 11:00:00+02",179
19745,11,"2022-09-11 11:15:00+02",185
19746,11,"2022-09-11 11:30:00+02",188
19747,11,"2022-09-11 11:45:00+02",165
19748,11,"2022-09-11 12:00:00+02",204
19749,11,"2022-09-11 12:15:00+02",185
19750,11,"2022-09-11 12:30:00+02",144
19751,11,"2022-09-11 12:45:00+02",137
19752,11,"2022-09-11 13:00:00+02",159
19753,11,"2022-09-11 13:15:00+02",130
19754,11,"2022-09-11 13:30:00+02",145
19755,11,"2022-09-11 13:45:00+02",122
19756,11,"2022-09-11 14:00:00+02",115
19757,11,"2022-09-11 14:15:00+02",136
19758,11,"2022-09-11 14:30:00+02",106
19759,11,"2022-09-11 14:45:00+02",98
19760,11,"2022-09-11 15:00:00+02",117
19761,11,"2022-09-11 15:15:00+02",145
19762,11,"2022-09-11 15:30:00+02",107
19763,11,"2022-09-11 15:45:00+02",85
19764,11,"2022-09-11 16:00:00+02",118
19765,11,"2022-09-11 16:15:00+02",105
19766,11,"2022-09-11 16:30:00+02",115
19767,11,"2022-09-11 16:45:00+02",85
19768,11,"2022-09-11 17:00:00+02",104
19769,11,"2022-09-11 17:15:00+02",116
19770,11,"2022-09-11 17:30:00+02",87
19771,11,"2022-09-11 17:45:00+02",107
19772,11,"2022-09-11 18:00:00+02",98
19773,11,"2022-09-11 18:15:00+02",91
19774,11,"2022-09-11 18:30:00+02",94
19775,11,"2022-09-11 18:45:00+02",81
19776,11,"2022-09-11 19:00:00+02",68
19777,11,"2022-09-11 19:15:00+02",55
19778,11,"2022-09-11 19:30:00+02",85
19779,11,"2022-09-11 19:45:00+02",52
19780,11,"2022-09-11 20:00:00+02",48
19781,11,"2022-09-11 20:15:00+02",46
19782,11,"2022-09-11 20:30:00+02",40
