"id","index","measurement_time","measured_value"
21197,11,"2022-09-11 00:00:00+02",13
21198,11,"2022-09-11 00:15:00+02",8
21199,11,"2022-09-11 00:30:00+02",0
21200,11,"2022-09-11 00:45:00+02",4
21201,11,"2022-09-11 01:00:00+02",4
21202,11,"2022-09-11 01:15:00+02",3
21203,11,"2022-09-11 01:30:00+02",3
21204,11,"2022-09-11 01:45:00+02",0
21205,11,"2022-09-11 02:00:00+02",3
21206,11,"2022-09-11 02:15:00+02",2
21207,11,"2022-09-11 02:30:00+02",0
21208,11,"2022-09-11 02:45:00+02",0
21209,11,"2022-09-11 03:00:00+02",0
21210,11,"2022-09-11 03:15:00+02",1
21211,11,"2022-09-11 03:30:00+02",0
21212,11,"2022-09-11 03:45:00+02",0
21213,11,"2022-09-11 04:00:00+02",0
21214,11,"2022-09-11 04:15:00+02",0
21215,11,"2022-09-11 04:30:00+02",0
21216,11,"2022-09-11 04:45:00+02",1
21217,11,"2022-09-11 05:00:00+02",0
21218,11,"2022-09-11 05:15:00+02",1
21219,11,"2022-09-11 05:30:00+02",0
21220,11,"2022-09-11 05:45:00+02",1
21221,11,"2022-09-11 06:00:00+02",1
21222,11,"2022-09-11 06:15:00+02",5
21223,11,"2022-09-11 06:30:00+02",5
21224,11,"2022-09-11 06:45:00+02",4
21225,11,"2022-09-11 07:00:00+02",2
21226,11,"2022-09-11 07:15:00+02",20
21227,11,"2022-09-11 07:30:00+02",14
21228,11,"2022-09-11 07:45:00+02",24
21229,11,"2022-09-11 08:00:00+02",29
21230,11,"2022-09-11 08:15:00+02",55
21231,11,"2022-09-11 08:30:00+02",51
21232,11,"2022-09-11 08:45:00+02",67
21233,11,"2022-09-11 09:00:00+02",86
21234,11,"2022-09-11 09:15:00+02",78
21235,11,"2022-09-11 09:30:00+02",112
21236,11,"2022-09-11 09:45:00+02",113
21237,11,"2022-09-11 10:00:00+02",137
21238,11,"2022-09-11 10:15:00+02",144
21239,11,"2022-09-11 10:30:00+02",191
21240,11,"2022-09-11 10:45:00+02",177
21241,11,"2022-09-11 11:00:00+02",219
21242,11,"2022-09-11 11:15:00+02",192
21243,11,"2022-09-11 11:30:00+02",136
21244,11,"2022-09-11 11:45:00+02",191
21245,11,"2022-09-11 12:00:00+02",215
21246,11,"2022-09-11 12:15:00+02",145
21247,11,"2022-09-11 12:30:00+02",132
21248,11,"2022-09-11 12:45:00+02",125
21249,11,"2022-09-11 13:00:00+02",114
