"id","index","measurement_time","measured_value"
20005,0,"2022-09-11 00:00:00+02",0
20006,0,"2022-09-11 00:15:00+02",0
20007,0,"2022-09-11 00:30:00+02",0
20008,0,"2022-09-11 00:45:00+02",0
20009,0,"2022-09-11 01:00:00+02",0
20010,0,"2022-09-11 01:15:00+02",0
20011,0,"2022-09-11 01:30:00+02",0
20012,0,"2022-09-11 01:45:00+02",0
20013,0,"2022-09-11 02:00:00+02",0
20014,0,"2022-09-11 02:15:00+02",0
20015,0,"2022-09-11 02:30:00+02",0
20016,0,"2022-09-11 02:45:00+02",0
20017,0,"2022-09-11 03:00:00+02",0
20018,0,"2022-09-11 03:15:00+02",0
20019,0,"2022-09-11 03:30:00+02",0
20020,0,"2022-09-11 03:45:00+02",0
20021,0,"2022-09-11 04:00:00+02",0
20022,0,"2022-09-11 04:15:00+02",0
20023,0,"2022-09-11 04:30:00+02",0
20024,0,"2022-09-11 04:45:00+02",0
20025,0,"2022-09-11 05:00:00+02",0
20026,0,"2022-09-11 05:15:00+02",0
20027,0,"2022-09-11 05:30:00+02",0
20028,0,"2022-09-11 05:45:00+02",0
20029,0,"2022-09-11 06:00:00+02",0
20030,0,"2022-09-11 06:15:00+02",0
20031,0,"2022-09-11 06:30:00+02",0
20032,0,"2022-09-11 06:45:00+02",0
20033,0,"2022-09-11 07:00:00+02",0
20034,0,"2022-09-11 07:15:00+02",0
20035,0,"2022-09-11 07:30:00+02",0
20036,0,"2022-09-11 07:45:00+02",0
20037,0,"2022-09-11 08:00:00+02",0
20038,0,"2022-09-11 08:15:00+02",0
20039,0,"2022-09-11 08:30:00+02",0
20040,0,"2022-09-11 08:45:00+02",0
20041,0,"2022-09-11 09:00:00+02",0
20042,0,"2022-09-11 09:15:00+02",0
20043,0,"2022-09-11 09:30:00+02",0
20044,0,"2022-09-11 09:45:00+02",0
20045,0,"2022-09-11 10:00:00+02",0
20046,0,"2022-09-11 10:15:00+02",0
20047,0,"2022-09-11 10:30:00+02",0
20048,0,"2022-09-11 10:45:00+02",0
20049,0,"2022-09-11 11:00:00+02",0
20050,0,"2022-09-11 11:15:00+02",0
20051,0,"2022-09-11 11:30:00+02",0
20052,0,"2022-09-11 11:45:00+02",0
20053,0,"2022-09-11 12:00:00+02",0
20054,0,"2022-09-11 12:15:00+02",0
20055,0,"2022-09-11 12:30:00+02",0
20056,0,"2022-09-11 12:45:00+02",0
20057,0,"2022-09-11 13:00:00+02",0
20058,0,"2022-09-11 13:15:00+02",0
20059,0,"2022-09-11 13:30:00+02",0
20060,0,"2022-09-11 13:45:00+02",0
20061,0,"2022-09-11 14:00:00+02",0
20062,0,"2022-09-11 14:15:00+02",0
20063,0,"2022-09-11 14:30:00+02",0
20064,0,"2022-09-11 14:45:00+02",0
20065,0,"2022-09-11 15:00:00+02",0
20066,0,"2022-09-11 15:15:00+02",0
20067,0,"2022-09-11 15:30:00+02",0
20068,0,"2022-09-11 15:45:00+02",0
20069,0,"2022-09-11 16:00:00+02",0
20070,0,"2022-09-11 16:15:00+02",0
20071,0,"2022-09-11 16:30:00+02",0
20072,0,"2022-09-11 16:45:00+02",0
20073,0,"2022-09-11 17:00:00+02",0
20074,0,"2022-09-11 17:15:00+02",0
20075,0,"2022-09-11 17:30:00+02",0
20076,0,"2022-09-11 17:45:00+02",0
20077,0,"2022-09-11 18:00:00+02",0
20078,0,"2022-09-11 18:15:00+02",0
20079,0,"2022-09-11 18:30:00+02",0
20080,0,"2022-09-11 18:45:00+02",0
20081,0,"2022-09-11 19:00:00+02",0
20082,0,"2022-09-11 19:15:00+02",0
20083,0,"2022-09-11 19:30:00+02",0
20084,0,"2022-09-11 19:45:00+02",0
20085,0,"2022-09-11 20:00:00+02",0
20086,0,"2022-09-11 20:15:00+02",0
20087,0,"2022-09-11 20:30:00+02",0
20088,0,"2022-09-11 20:45:00+02",0
20089,0,"2022-09-11 21:00:00+02",0
20090,0,"2022-09-11 21:15:00+02",0
20091,0,"2022-09-11 21:30:00+02",0
20092,0,"2022-09-11 21:45:00+02",0
20093,0,"2022-09-11 22:00:00+02",0
20094,0,"2022-09-11 22:15:00+02",0
20095,0,"2022-09-11 22:30:00+02",0
20096,0,"2022-09-11 22:45:00+02",0
20097,0,"2022-09-11 23:00:00+02",0
