"id","index","measurement_time","measured_value"
19656,0,"2022-09-11 00:00:00+02",0
19657,0,"2022-09-11 00:15:00+02",0
19658,0,"2022-09-11 00:30:00+02",0
19659,0,"2022-09-11 00:45:00+02",0
19660,0,"2022-09-11 01:00:00+02",0
19661,0,"2022-09-11 01:15:00+02",0
19662,0,"2022-09-11 01:30:00+02",0
19663,0,"2022-09-11 01:45:00+02",0
19664,0,"2022-09-11 02:00:00+02",0
19665,0,"2022-09-11 02:15:00+02",0
19666,0,"2022-09-11 02:30:00+02",0
19667,0,"2022-09-11 02:45:00+02",0
19668,0,"2022-09-11 03:00:00+02",0
19669,0,"2022-09-11 03:15:00+02",0
19670,0,"2022-09-11 03:30:00+02",0
19671,0,"2022-09-11 03:45:00+02",0
19672,0,"2022-09-11 04:00:00+02",0
19673,0,"2022-09-11 04:15:00+02",0
19674,0,"2022-09-11 04:30:00+02",0
19675,0,"2022-09-11 04:45:00+02",0
19676,0,"2022-09-11 05:00:00+02",0
19677,0,"2022-09-11 05:15:00+02",0
19678,0,"2022-09-11 05:30:00+02",0
19679,0,"2022-09-11 05:45:00+02",0
19680,0,"2022-09-11 06:00:00+02",0
19681,0,"2022-09-11 06:15:00+02",0
19682,0,"2022-09-11 06:30:00+02",0
19683,0,"2022-09-11 06:45:00+02",0
19684,0,"2022-09-11 07:00:00+02",0
19685,0,"2022-09-11 07:15:00+02",0
19686,0,"2022-09-11 07:30:00+02",0
19687,0,"2022-09-11 07:45:00+02",0
19688,0,"2022-09-11 08:00:00+02",0
19689,0,"2022-09-11 08:15:00+02",0
19690,0,"2022-09-11 08:30:00+02",0
19691,0,"2022-09-11 08:45:00+02",0
19692,0,"2022-09-11 09:00:00+02",0
19693,0,"2022-09-11 09:15:00+02",0
19694,0,"2022-09-11 09:30:00+02",0
19695,0,"2022-09-11 09:45:00+02",0
19696,0,"2022-09-11 10:00:00+02",0
19697,0,"2022-09-11 10:15:00+02",0
19698,0,"2022-09-11 10:30:00+02",0
19699,0,"2022-09-11 10:45:00+02",0
19700,0,"2022-09-11 11:00:00+02",0
19701,0,"2022-09-11 11:15:00+02",0
19702,0,"2022-09-11 11:30:00+02",0
19703,0,"2022-09-11 11:45:00+02",0
19704,0,"2022-09-11 12:00:00+02",0
19705,0,"2022-09-11 12:15:00+02",0
19706,0,"2022-09-11 12:30:00+02",0
19707,0,"2022-09-11 12:45:00+02",0
19708,0,"2022-09-11 13:00:00+02",0
19709,0,"2022-09-11 13:15:00+02",0
19710,0,"2022-09-11 13:30:00+02",0
19711,0,"2022-09-11 13:45:00+02",0
19712,0,"2022-09-11 14:00:00+02",0
19713,0,"2022-09-11 14:15:00+02",0
19714,0,"2022-09-11 14:30:00+02",0
19715,0,"2022-09-11 14:45:00+02",0
19716,0,"2022-09-11 15:00:00+02",0
19717,0,"2022-09-11 15:15:00+02",0
19718,0,"2022-09-11 15:30:00+02",0
19719,0,"2022-09-11 15:45:00+02",0
19720,0,"2022-09-11 16:00:00+02",0
19721,0,"2022-09-11 16:15:00+02",0
19722,0,"2022-09-11 16:30:00+02",0
19723,0,"2022-09-11 16:45:00+02",0
19724,0,"2022-09-11 17:00:00+02",0
19725,0,"2022-09-11 17:15:00+02",0
19726,0,"2022-09-11 17:30:00+02",0
19727,0,"2022-09-11 17:45:00+02",0
19728,0,"2022-09-11 18:00:00+02",0
19729,0,"2022-09-11 18:15:00+02",0
19730,0,"2022-09-11 18:30:00+02",0
19731,0,"2022-09-11 18:45:00+02",0
19732,0,"2022-09-11 19:00:00+02",0
19733,0,"2022-09-11 19:15:00+02",0
