"id","index","measurement_time","measured_value"
19971,11,"2022-09-11 00:00:00+02",63
19972,11,"2022-09-11 00:15:00+02",56
19973,11,"2022-09-11 00:30:00+02",47
19974,11,"2022-09-11 00:45:00+02",64
19975,11,"2022-09-11 01:00:00+02",52
19976,11,"2022-09-11 01:15:00+02",57
19977,11,"2022-09-11 01:30:00+02",44
19978,11,"2022-09-11 01:45:00+02",48
19979,11,"2022-09-11 02:00:00+02",53
19980,11,"2022-09-11 02:15:00+02",39
19981,11,"2022-09-11 02:30:00+02",46
19982,11,"2022-09-11 02:45:00+02",38
19983,11,"2022-09-11 03:00:00+02",42
19984,11,"2022-09-11 03:15:00+02",50
19985,11,"2022-09-11 03:30:00+02",44
19986,11,"2022-09-11 03:45:00+02",39
19987,11,"2022-09-11 04:00:00+02",62
19988,11,"2022-09-11 04:15:00+02",50
19989,11,"2022-09-11 04:30:00+02",27
19990,11,"2022-09-11 04:45:00+02",29
19991,11,"2022-09-11 05:00:00+02",35
19992,11,"2022-09-11 05:15:00+02",40
19993,11,"2022-09-11 05:30:00+02",42
19994,11,"2022-09-11 05:45:00+02",47
19995,11,"2022-09-11 06:00:00+02",51
19996,11,"2022-09-11 06:15:00+02",61
19997,11,"2022-09-11 06:30:00+02",95
19998,11,"2022-09-11 06:45:00+02",65
19999,11,"2022-09-11 07:00:00+02",88
20000,11,"2022-09-11 07:15:00+02",98
20001,11,"2022-09-11 07:30:00+02",111
20002,11,"2022-09-11 07:45:00+02",128
20003,11,"2022-09-11 08:00:00+02",140
20004,11,"2022-09-11 08:15:00+02",151
20005,11,"2022-09-11 08:30:00+02",149
20006,11,"2022-09-11 08:45:00+02",182
20007,11,"2022-09-11 09:00:00+02",186
20008,11,"2022-09-11 09:15:00+02",223
20009,11,"2022-09-11 09:30:00+02",209
20010,11,"2022-09-11 09:45:00+02",238
20011,11,"2022-09-11 10:00:00+02",205
20012,11,"2022-09-11 10:15:00+02",200
20013,11,"2022-09-11 10:30:00+02",227
20014,11,"2022-09-11 10:45:00+02",242
20015,11,"2022-09-11 11:00:00+02",259
20016,11,"2022-09-11 11:15:00+02",251
20017,11,"2022-09-11 11:30:00+02",241
20018,11,"2022-09-11 11:45:00+02",238
20019,11,"2022-09-11 12:00:00+02",257
20020,11,"2022-09-11 12:15:00+02",258
20021,11,"2022-09-11 12:30:00+02",246
20022,11,"2022-09-11 12:45:00+02",265
20023,11,"2022-09-11 13:00:00+02",231
20024,11,"2022-09-11 13:15:00+02",253
20025,11,"2022-09-11 13:30:00+02",254
20026,11,"2022-09-11 13:45:00+02",252
20027,11,"2022-09-11 14:00:00+02",238
20028,11,"2022-09-11 14:15:00+02",276
20029,11,"2022-09-11 14:30:00+02",250
20030,11,"2022-09-11 14:45:00+02",254
20031,11,"2022-09-11 15:00:00+02",222
20032,11,"2022-09-11 15:15:00+02",222
20033,11,"2022-09-11 15:30:00+02",223
20034,11,"2022-09-11 15:45:00+02",231
20035,11,"2022-09-11 16:00:00+02",229
20036,11,"2022-09-11 16:15:00+02",221
20037,11,"2022-09-11 16:30:00+02",200
20038,11,"2022-09-11 16:45:00+02",232
20039,11,"2022-09-11 17:00:00+02",253
20040,11,"2022-09-11 17:15:00+02",244
20041,11,"2022-09-11 17:30:00+02",226
20042,11,"2022-09-11 17:45:00+02",222
20043,11,"2022-09-11 18:00:00+02",223
20044,11,"2022-09-11 18:15:00+02",205
20045,11,"2022-09-11 18:30:00+02",210
20046,11,"2022-09-11 18:45:00+02",212
20047,11,"2022-09-11 19:00:00+02",183
20048,11,"2022-09-11 19:15:00+02",175
20049,11,"2022-09-11 19:30:00+02",155
20050,11,"2022-09-11 19:45:00+02",171
20051,11,"2022-09-11 20:00:00+02",148
20052,11,"2022-09-11 20:15:00+02",160
20053,11,"2022-09-11 20:30:00+02",170
20054,11,"2022-09-11 20:45:00+02",144
20055,11,"2022-09-11 21:00:00+02",139
